"*Loc","Ag","Ag_INAA","Al","Al2O3","As","As_INAA","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br","Br_INAA","Ca","Ca_INAA","CaO","Cd","Ce_INAA","Cl'","Co","Co_INAA","Cond","Cr","Cr_INAA","Cs_INAA","Cu","Eu_INAA","F'","F_ionselect","Fe","Fe_INAA","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K2O","La","La_INAA","Li","LOI","Lu_INAA","Mass_INAA","Mg","MgO","Mn","MnO","Mo","Mo_INAA","Na","Na_INAA","Na2O","Nd_INAA","Ni","Ni_INAA","NO2'","NO3'","P","P2O5","Pb","pH","PO4'''","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","SiO2","Sm_INAA","Sn_INAA","SO4''","Sr","Sr_INAA","Sum","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA"
165,0.009,2.5,4000,9.83,0.3,0.25,0.001,1.5,36.5,400,0.1,0.013,0.001,3.2,1490,20000,2.18,0.009,33,0.001,5.1,10,1.9,38.9,130,0.5,12.6,0.8,0.0005,0.000001,8750,25100,3.23,4,0.01,0.5,0.0025,1000,1.16,7.5,15,3.6,0.72,0.21,36.63,3140,1.57,122,0.05,0.1,0.5,70,29400,3.29,12,15.4,10,0.0005,0.0005,407,0.08,1.1,6.4,0.002,31,10,0.005,0.05,1.3,11,0.026,1.5,100,76.68,2.3,50,0.0030774,5.5,250,99.23,0.25,0.25,0.009,3,3,405,0.43,0.25,18.7,0.5,2.6,1.3,9.2,54
180,0.009,2.5,3840,10.14,0.3,0.25,0.001,1.5,34.5,400,0.09,0.008,0.001,0.25,1580,20000,2.32,0.009,34,0.004208,5,11,5.4,38,130,0.5,12.3,0.7,0.0005,0.000001,8370,25500,3.5,5,0.01,0.5,0.0025,900,1.18,7.7,16,3.4,0.73,0.22,33.41,2980,1.67,117,0.05,0.1,0.5,80,30100,3.4,11,15,10,0.0005,0.0005,405,0.09,0.8,5.9,0.002,40,7,0.005,0.05,1.3,11,0.005,1.5,120,75.87,2.2,50,0.0041406,6.3,250,99.41,0.25,0.25,0.0015,3,2.9,416,0.47,1.2,18.2,0.5,2.7,1.5,8.6,25
195,0.008,2.5,4010,10.17,0.2,0.25,0.001,1.5,33.6,390,0.1,0.018,0.001,4,1700,20000,2.18,0.007,33,0.0045134,8.1,10,7,38.7,120,0.5,12.8,0.7,0.0010008,0.000001,9210,24900,3.33,5,0.01,0.5,0.0025,1000,1.19,8.2,15,3.8,0.74,0.18,38.15,3120,1.57,118,0.05,0.1,0.5,90,29900,3.41,10,16.6,10,0.0005,0.0005,401,0.09,0.6,5.9,0.002,30,24,0.005,0.05,1.4,11,0.078,1.5,90,76.2,2.3,50,0.0033956,6.6,250,99.35,0.5,0.25,0.007,4,2.8,455,0.43,0.25,19.2,0.5,3,1.3,9.1,25
210,0.007,2.5,3780,10.1,0.2,0.25,0.001,1.5,31.9,450,0.09,0.011,0.001,4.7,1640,20000,2.25,0.008,29,0.001,4.9,10,1.7,37.3,120,0.5,11.6,0.8,0.0005,0.000001,8400,26700,3.38,5,0.01,0.5,0.0025,900,1.18,7.8,15,3.3,0.71,0.18,37.05,2910,1.61,113,0.05,0.1,0.5,90,27100,3.36,15,15,10,0.0005,0.0005,412,0.08,0.6,5.8,0.002,43,7,0.005,0.05,1.4,9,0.027,1.5,100,76.29,2.1,50,0.001,6.1,250,99.45,0.25,0.25,0.0015,3,3.1,413,0.44,0.25,18.4,0.5,2.8,1.4,8.4,25
225,0.006,2.5,3470,10.1,0.2,0.25,0.001,1.5,30.6,470,0.08,0.015,0.001,3.7,1400,30000,2.27,0.01,34,0.001,4.7,11,1.8,34.3,120,1,11.7,0.7,0.0005,0.000001,7870,25200,3.48,4,0.01,0.5,0.0025,900,1.18,6.9,16,3.3,0.72,0.2,37.07,2750,1.63,108,0.05,0.1,5,60,27200,3.37,12,13.7,10,0.0005,0.0005,381,0.09,0.8,6,0.002,29,29,0.005,0.05,1.1,9.2,0.027,1.5,90,76.34,2,50,0.001,5.1,250,99.67,1,0.25,0.013,4,3,368,0.45,0.25,16.8,0.5,2.5,1.3,8.3,25
240,0.007,2.5,3990,10.23,0.2,0.25,0.001,1.5,33.6,470,0.09,0.009,0.001,0.25,1770,20000,2.27,0.009,30,0.001,5.3,10,1.8,40.6,120,0.5,12.2,0.7,0.0005,0.000001,9170,25600,3.44,4,0.01,0.5,0.0025,900,1.19,7.4,14,3.6,0.7,0.19,36.34,3130,1.64,121,0.05,0.1,0.5,90,26400,3.45,12,16.1,10,0.0005,0.0005,413,0.09,0.7,6,0.002,29,7,0.005,0.05,1.4,8.8,0.027,1.5,100,76.77,1.9,50,0.001,7.1,250,100.28,0.25,0.25,0.011,4,3,455,0.45,1.3,19.6,0.5,3,1.3,9.3,25
255,0.007,2.5,4230,10.01,0.2,0.25,0.004,1.5,36.8,380,0.09,0.014,0.001,3.7,1760,20000,2.16,0.011,32,0.001,5.4,10,1.8,36.4,120,0.5,12,0.8,0.0005,0.000001,9160,25700,3.27,4,0.01,0.5,0.0025,1000,1.19,9,15,4.1,0.71,0.2,37.21,3280,1.56,125,0.05,0.1,0.5,90,27000,3.32,12,15.4,10,0.0005,0.0005,407,0.09,0.7,5.8,0.002,31,10,0.005,0.05,1.4,9.2,0.032,1.5,90,76.44,2,50,0.0023476,7.6,250,99.23,1,0.25,0.0015,4,2.9,459,0.43,1.3,19.2,0.5,3,1.4,10,75
270,0.008,2.5,4360,9.84,0.3,0.25,0.001,1.5,40.8,430,0.1,0.015,0.001,2.9,1520,5000,2.23,0.011,32,0.001,5.2,10,1.6,40.9,110,0.5,13.2,0.7,0.0005,0.000001,9320,24000,3.44,4,0.01,0.5,0.0025,1100,1.17,8.1,14,4.1,0.71,0.19,33.69,3430,1.62,120,0.05,0.1,0.5,80,25800,3.31,12,15.9,10,0.0005,0.0005,378,0.08,0.9,6,0.002,30,9,0.005,0.05,1.5,8.6,0.026,1.5,100,76.72,1.8,50,0.001,6.1,250,99.63,0.25,0.25,0.004,4,3,446,0.45,1.3,20.2,0.5,2.9,1.3,10,60
285,0.01,2.5,4420,10.03,0.2,0.25,0.001,1.5,34.2,490,0.1,0.021,0.001,3.3,1870,10000,2.18,0.011,31,0.001,5.5,11,1.6,40.5,130,0.5,13.3,0.7,0.0005,0.000001,9820,26400,3.3,5,0.01,0.5,0.0025,900,1.19,8.1,16,4.1,0.73,0.22,37.48,3430,1.57,126,0.05,0.1,0.5,100,27600,3.52,13,16.1,10,0.0005,0.0005,412,0.09,0.8,5.9,0.002,35,12,0.005,0.05,1.6,9.6,0.016,1.5,120,76.79,2.1,50,0.001,7.5,250,99.87,0.8,0.25,0.007,4,3.3,511,0.43,0.25,23.1,0.5,3.1,1.4,9.8,71
300,0.007,2.5,3850,10.1,0.2,0.25,0.001,1.5,32.4,450,0.09,0.013,0.001,3.1,1720,10000,2.27,0.01,32,0.001,5,11,1.7,38,120,0.5,11.5,0.7,0.0005,0.000001,8770,26000,3.39,5,0.01,0.5,0.0025,900,1.18,8.6,15,3.5,0.71,0.21,35.26,2970,1.62,117,0.05,0.1,6,90,27300,3.41,8,15.4,10,0.0005,0.0005,414,0.09,0.9,6.1,0.002,39,11,0.005,0.05,1.4,9.4,0.015,1.5,120,76.4,2.1,50,0.001,7,250,99.69,0.25,0.25,0.0015,4,3.1,437,0.46,0.25,18.7,0.5,3,1.3,8.8,25
315,0.008,2.5,4270,10.08,0.2,0.25,0.001,3,37,330,0.1,0.013,0.001,3.2,1900,10000,2.22,0.01,29,0.001,5.3,10,1.7,40.4,110,0.5,12.4,0.7,0.0005,0.000001,9400,24100,3.32,4,0.01,0.5,0.0025,1000,1.19,8.1,14,3.6,0.67,0.21,38.57,3240,1.59,124,0.05,0.1,0.5,100,25200,3.44,12,15.7,10,0.0005,0.0005,424,0.08,0.8,5.9,0.002,42,12,0.005,0.05,1.5,8.5,0.017,1.5,120,75.87,1.9,50,0.001,7.8,250,98.97,0.25,0.25,0.006,4,2.7,499,0.44,0.25,21,0.5,3.3,1.2,9.3,25
330,0.01,2.5,4290,9.89,0.3,0.25,0.001,1.5,39.9,410,0.09,0.009,0.001,2.8,1620,20000,2.16,0.011,29,0.001,5.5,9,1.9,36.2,110,0.5,13.5,0.7,0.0005,0.000001,9070,23600,3.25,4,0.01,0.5,0.0025,1100,1.17,8,14,4.1,0.75,0.18,34.72,3420,1.58,126,0.05,0.1,6,80,25500,3.32,11,15.5,66,0.0005,0.0005,423,0.08,0.8,5.8,0.002,27,10,0.005,0.05,1.4,8.4,0.014,1.5,100,76.85,1.9,50,0.001,6,250,99.53,0.25,0.25,0.007,4,2.6,432,0.42,0.25,19.6,0.5,2.9,1.2,10.3,25
345,0.006,2.5,4110,9.97,0.3,0.25,0.001,1.5,34.2,420,0.09,0.013,0.001,3.5,1890,20000,2.24,0.012,33,0.001,5.3,10,1.8,42.5,120,0.5,12.5,0.7,0.0005,0.000001,9460,27000,3.44,5,0.01,0.5,0.0025,1000,1.17,8.7,15,3.6,0.72,0.22,33.23,3190,1.61,131,0.05,0.1,6,90,28100,3.29,11,15.9,10,0.0005,0.0005,431,0.08,0.8,6.2,0.002,21,10,0.011,0.05,1.5,9.2,0.029,1.5,90,76.68,2.1,50,0.001,7.6,250,99.7,0.25,0.25,0.006,4,2.7,459,0.45,0.25,20.2,0.5,3.2,1.4,9.3,25
360,0.01,2.5,4120,10.01,0.4,1.8,0.004,1.5,33.2,480,0.09,0.017,0.001,3.9,1920,20000,2.21,0.013,32,0.001,5.6,11,1.8,41.8,120,0.5,13.1,0.8,0.0005,0.000001,9210,26400,3.32,4,0.01,0.5,0.0025,900,1.17,8.1,15,3.8,0.81,0.22,34.9,3270,1.6,124,0.05,0.1,0.5,90,27400,3.32,10,16.5,87,0.0005,0.0005,450,0.08,0.8,6.2,0.002,26,14,0.005,0.05,1.4,9.2,0.026,1.5,100,76.77,2.1,50,0.001,7.6,250,99.79,1.1,0.25,0.006,4,3.3,467,0.44,0.25,19.7,0.5,3.2,1.3,9.4,25
375,0.008,2.5,4370,10.03,0.2,0.25,0.001,1.5,38.5,330,0.09,0.009,0.001,3.5,1810,5000,2.22,0.014,29,0.001,5.8,10,2.3,44.9,120,0.5,13.6,0.8,0.0005,0.000001,9640,24800,3.35,4,0.01,0.5,0.0025,1100,1.17,8.1,15,3.9,0.84,0.21,38.32,3460,1.61,126,0.05,0.1,0.5,80,26400,3.31,13,16.8,10,0.0005,0.0005,439,0.09,0.9,5.9,0.002,19,9,0.005,0.05,1.5,9.1,0.04,1.5,100,75.5,2,50,0.001,7.2,250,98.59,0.6,0.25,0.0015,4,3,472,0.44,1.1,21.1,0.5,3.1,1.4,11,25
390,0.006,2.5,3840,9.97,0.2,0.25,0.004,1.5,34.4,450,0.08,0.011,0.001,3.5,1580,20000,2.12,0.014,34,0.001,5.5,11,1.6,45,120,0.5,13.1,0.8,0.0005,0.000001,9840,26800,3.16,5,0.01,0.5,0.0025,900,1.19,7.5,16,3.4,0.85,0.2,34.25,3050,1.56,154,0.05,0.1,7,70,28300,3.38,11,16.5,10,0.0005,0.0005,405,0.08,0.7,6.2,0.002,20,52,0.005,0.05,1.3,9.4,0.033,1.5,100,77.09,2.1,50,0.0027244,6,250,99.86,0.5,0.25,0.008,4,3.2,442,0.41,0.25,20.6,0.5,2.8,1.5,9,25
405,0.011,2.5,4340,9.96,0.2,0.25,0.001,1.5,36.8,480,0.09,0.012,0.001,3.7,1890,20000,2.25,0.013,32,0.001,5.5,10,1.6,43.6,120,0.5,12.9,0.7,0.0005,0.000001,10000,24900,3.38,4,0.01,0.5,0.0025,1100,1.18,8.5,16,3.9,0.76,0.18,30.79,3370,1.6,130,0.05,0.1,0.5,100,27900,3.51,12,15.6,10,0.0005,0.0005,417,0.09,0.9,6.1,0.002,36,13,0.005,0.05,1.5,8.9,0.015,1.5,100,76.05,2,50,0.0021536,7.8,250,99.27,0.25,0.25,0.0015,7,4.3,533,0.44,1.5,21.7,0.5,3.3,1.3,10,25
420,0.008,2.5,4260,10.18,0.2,0.25,0.001,1.5,35,530,0.09,0.014,0.001,3.1,2030,20000,2.07,0.013,33,0.001,5.5,11,1.6,45.6,130,0.5,13.1,0.9,0.0005,0.000001,10500,26800,3.12,5,0.01,0.5,0.0025,1000,1.19,8.9,15,3.5,0.72,0.18,35,3280,1.52,132,0.05,0.1,0.5,110,28300,3.46,10,16.6,10,0.0005,0.0005,436,0.08,0.9,6.1,0.002,25,14,0.005,0.05,1.5,9.4,0.025,1.5,90,76.91,2.2,50,0.001,8.5,250,99.69,0.25,0.25,0.006,5,3.3,534,0.4,0.25,22.2,0.5,3.4,1.2,9.5,111
435,0.006,2.5,3800,10.35,0.2,0.25,0.001,1.5,33.5,400,0.08,0.012,0.001,3.5,1600,20000,2.12,0.012,31,0.001,5.7,10,1.7,37.9,120,0.5,12.6,0.7,0.0005,0.000001,9050,25400,3.34,4,0.01,0.5,0.0025,900,1.23,7.4,14,3.3,0.79,0.2,34.41,2960,1.56,114,0.05,0.1,0.5,80,27000,3.55,10,15.4,10,0.0005,0.0005,423,0.08,0.9,6,0.002,26,8,0.005,0.05,1.2,8.6,0.216,1.5,100,76.27,1.9,50,0.001,5.8,250,99.76,0.25,0.25,0.008,3,2.7,401,0.42,1,18.7,0.5,2.7,1.2,8.3,25
450,0.007,2.5,4450,10.15,0.2,0.25,0.001,1.5,37.1,510,0.1,0.015,0.001,2.9,1760,20000,2.16,0.013,31,0.001,5.7,10,1.7,42.9,110,0.5,14.2,0.7,0.00109,0.000001,10500,24700,3.26,4,0.01,0.5,0.0025,1000,1.22,8.1,14,3.8,0.79,0.2,33.71,3500,1.56,127,0.05,0.1,2,90,26700,3.41,9,17.1,10,0.0005,0.0005,411,0.08,0.8,7.4,0.002,19,38,0.005,0.05,1.6,8.7,0.043,1.5,110,76.28,1.9,50,0.001,6.9,250,99.39,0.25,0.25,0.0015,4,3,471,0.43,0.9,22,0.5,3.2,1.2,9.6,25
465,0.006,2.5,4380,10.04,0.4,0.25,0.001,1.5,35.5,400,0.09,0.016,0.001,3.3,2020,10000,2.07,0.011,25,0.001,5.9,9,1.9,43.3,99,0.5,12.6,0.6,0.0005,0.000001,10100,21400,3.15,4,0.01,0.5,0.0025,1000,1.21,8.3,13,3.7,0.87,0.18,35.65,3380,1.51,127,0.05,0.1,0.5,110,23700,3.51,9,16.9,10,0.0005,0.0005,447,0.08,0.7,6,0.002,33,11,0.005,0.05,1.6,7.8,0.033,1.5,110,76.29,1.6,50,0.001,8,250,99.17,0.25,0.25,0.004,4,2.2,509,0.39,1.2,22.1,0.5,3.3,1.1,9.3,58
480,0.005,2.5,3980,10.14,0.3,0.25,0.001,1.5,34,430,0.09,0.011,0.001,3.2,1810,20000,2.17,0.01,30,0.001,5.5,10,1.8,41.6,120,0.5,12.3,0.7,0.0005,0.000001,9230,24600,3.31,5,0.01,0.5,0.0025,900,1.2,7.9,14,3.4,0.78,0.21,31.84,3070,1.6,122,0.05,0.1,0.5,90,26100,3.57,13,15.9,10,0.0005,0.0005,433,0.08,0.7,6.2,0.002,30,9,0.005,0.05,1.4,8.8,0.025,1.5,90,76.26,1.9,50,0.001,7.1,250,99.57,0.25,0.25,0.005,3,3,455,0.43,0.7,19.9,0.5,3,1.3,8.5,25
495,0.007,2.5,3940,10.16,0.2,0.25,0.001,1.5,37.9,440,0.09,0.011,0.001,3.7,1570,20000,2.11,0.008,33,0.001,5.4,10,1.8,40.9,130,0.5,12.8,0.6,0.0005,0.000001,9410,24300,3.16,4,0.02,0.5,0.0025,1000,1.2,7.8,15,3.6,0.73,0.18,32.9,3080,1.54,124,0.05,0.1,0.5,80,30400,3.43,13,15.8,10,0.0005,0.0005,403,0.08,0.7,5.7,0.002,7.5,7,0.021,0.05,1.3,9.2,0.025,1.5,90,75.97,1.9,50,0.001,5.9,250,98.84,0.25,0.25,0.006,4,3.2,449,0.41,0.8,19.4,0.5,2.8,1.2,9,25
510,0.005,2.5,3930,11.15,0.1,0.25,0.001,1.5,34.9,380,0.09,0.008,0.001,3.8,1640,10000,2.12,0.008,31,0.001,4.9,11,1.7,42.2,130,0.5,11.7,0.7,0.0005,0.000001,9240,23800,3.16,5,0.02,0.5,0.0025,1000,1.22,8,15,3.5,0.78,0.18,31.19,3080,1.56,119,0.05,0.1,0.5,80,30300,3.42,11,15,10,0.0005,0.0005,402,0.08,0.7,5.9,0.002,7.5,11,0.005,0.05,1.4,9.5,0.025,1.5,110,76.34,2,50,0.001,6.8,250,100.29,0.25,0.25,0.0015,3,3.3,460,0.41,0.9,20.2,0.5,2.8,1.1,8.6,25
525,0.007,2.5,4420,10.07,0.1,0.25,0.001,1.5,41,360,0.09,0.01,0.001,3.2,1930,20000,2.16,0.012,29,0.001,5.6,12,1.8,44.6,120,0.5,12.8,0.6,0.0005,0.000001,9890,23600,3.31,4,0.01,0.5,0.0025,1100,1.19,8.5,15,3.8,0.73,0.15,33.32,3340,1.58,125,0.05,0.1,0.5,120,30900,3.52,8,16.4,10,0.0005,0.0005,411,0.08,0.8,5.9,0.002,24,15,0.005,0.05,1.5,9.4,0.02,1.5,80,77.41,2,50,0.001,7.8,250,100.5,1.4,0.25,0.004,4,3,525,0.42,0.25,21.9,0.5,3,1.3,9.4,25
540,0.007,2.5,4050,9.86,0.2,0.25,0.001,1.5,35.3,420,0.09,0.011,0.001,3.6,1700,10000,2.2,0.01,32,0.001,5.5,10,1.7,42.6,120,0.5,12.7,0.6,0.0005,0.000001,9710,22700,3.35,4,0.02,0.5,0.0025,900,1.16,8.3,14,3.6,0.71,0.18,31.28,3210,1.58,127,0.05,0.1,0.5,90,29500,3.39,10,16.1,10,0.0005,0.001329,421,0.08,0.8,6.2,0.002,7.5,13,0.005,0.05,1.4,9.1,0.044,1.5,80,77.12,1.9,50,0.0020556,6.7,250,99.93,0.25,0.25,0.006,4,3.3,460,0.44,1.2,20.8,0.5,2.9,1,8.8,25
555,0.007,2.5,4080,9.97,0.2,0.25,0.001,1.5,34.8,610,0.09,0.015,0.001,0.25,1800,20000,2.16,0.009,34,0.001,4.8,11,1.7,47.2,140,0.5,11.9,0.7,0.0005,0.000001,10100,25700,3.18,5,0.01,0.5,0.0025,1000,1.16,8.2,16,3.5,0.67,0.2,33.35,3130,1.59,121,0.05,0.1,0.5,90,29300,3.34,2.5,16.1,10,0.0005,0.0005,407,0.08,0.8,5.9,0.002,7.5,10,0.005,0.05,1.5,10,0.025,1.5,100,76.82,2.1,50,0.001,7.4,250,99.44,0.25,0.25,0.006,4,3.2,541,0.43,0.25,22.2,0.5,3.1,1.3,8.8,121
570,0.008,2.5,4010,10.17,0.2,0.25,0.004,1.5,33.1,490,0.09,0.015,0.001,3.2,1660,10000,2.17,0.009,31,0.001,5.2,9,1.7,49.5,130,0.5,12.7,0.4,0.0005,0.000001,9780,23300,3.27,5,0.01,0.5,0.0025,900,1.19,8.3,14,3.6,0.78,0.16,34.24,3160,1.59,117,0.05,0.1,0.5,90,27100,3.39,9,15.8,10,0.0005,0.008,392,0.08,0.7,6.1,0.002,34,14,0.012,0.05,1.4,9.2,0.026,1.5,100,76.5,1.8,50,0.001,6.7,250,99.61,1.5,0.25,0.0015,4,2.6,485,0.42,1.7,20.5,0.5,2.9,1.2,8.6,25
585,0.008,2.5,4220,10.07,0.3,0.25,0.001,1.5,32.9,500,0.1,0.014,0.001,3.6,1910,30000,2.2,0.009,33,0.001,5.3,10,1.7,46.8,130,0.5,12.4,0.7,0.0005,0.000001,10500,24600,3.31,4,0.01,0.5,0.0025,900,1.18,8.3,15,3.7,0.78,0.2,35.38,3310,1.59,126,0.05,0.1,0.5,100,29200,3.36,10,16.3,10,0.0005,0.0005,445,0.08,0.8,5.9,0.002,27,11,0.005,0.05,1.5,9.9,0.021,1.5,90,76.33,2,50,0.001,7.8,250,99.38,0.25,0.25,0.004,4,3.2,542,0.44,0.25,22.3,0.5,3.2,1.3,9.1,25
